"ID","statistic","p_value","p_adjust"
"203748_x_at",-23.3371149879007,7.0095668165839e-48,8.01543965476369e-44
"207266_x_at",-23.3141412113234,6.69368185576673e-48,8.01543965476369e-44
"209868_s_at",-23.0242402753153,3.55454613773359e-47,2.09580242462068e-43
"223122_s_at",-22.9373057260716,3.66559234739078e-47,2.09580242462068e-43
"202291_s_at",-22.3511672595761,1.01515657549454e-45,3.86943848026003e-42
"204457_s_at",-23.0668764782452,9.43445335456994e-46,3.86943848026003e-42
"202363_at",-22.2670101713247,6.00576218745662e-45,1.96216830324476e-41
"225242_s_at",-22.3058874937044,8.27974721137649e-45,2.36697273405225e-41
"226930_at",-21.9085853016281,1.39757803543811e-44,3.55140107449662e-41
"227059_at",-22.2806053570754,2.16213049976926e-44,4.9447924529723e-41
"225782_at",-20.8281741199219,1.02830513503672e-42,2.13793985802635e-39
"225464_at",-20.448061147591,6.40011536269452e-42,1.2197553195402e-38
"212354_at",-20.4761475650119,9.80180451898915e-42,1.72436361037909e-38
"209210_s_at",-20.1674610220366,1.47082105666681e-41,2.34952102498301e-38
"225442_at",-20.4213105465715,1.54100635656953e-41,2.34952102498301e-38
"223121_s_at",-22.3554945365939,1.85569554064447e-41,2.65248481340869e-38
"217764_s_at",-20.1088515112567,2.11261465150491e-41,2.84208806352455e-38
"212344_at",-20.2764089644535,2.34637703219904e-41,2.98120237368845e-38
"227561_at",-20.6473267375605,3.59345012659951e-41,4.32537917870162e-38
"205547_s_at",-19.953320305518,4.47539362399957e-41,4.87391677051762e-38
"212353_at",-20.1182524033617,4.33784570849062e-41,4.87391677051762e-38
"218694_at",-21.013783847667,5.57603750781832e-41,5.7965444456275e-38
"224560_at",-19.8844305169212,6.45174861538567e-41,6.41528221016827e-38
"1555724_s_at",-19.9196012073653,7.00546329392651e-41,6.67562273050414e-38
"202766_s_at",-19.811362154586,8.54994742753077e-41,7.82149190670515e-38
"208747_s_at",-19.831911225699,9.49742318258131e-41,8.35407954560133e-38
"225710_at",-19.7398189739116,1.18385004991031e-40,9.66951808623173e-38
"231579_s_at",-19.7478153474832,1.16583730840854e-40,9.66951808623173e-38
"225481_at",-19.9806982149805,1.86863588452271e-40,1.47364491996671e-37
"225269_s_at",-19.5951940776652,2.39130284498186e-40,1.82296986882451e-37
"200986_at",-20.2084454575733,2.58942524925235e-40,1.91032759517423e-37
"215127_s_at",-19.5470779098059,3.17287644471217e-40,2.26761513408023e-37
"212607_at",-20.7036960536308,4.54254673903365e-40,3.14812254308181e-37
"202283_at",-19.4935191653613,1.17164024863877e-39,7.88100367246139e-37
"202133_at",-19.2808676798394,1.22619498427324e-39,8.01230836866546e-37
"218559_s_at",-19.2541405150165,1.59897319322369e-39,1.01579213691738e-36
"209348_s_at",-19.1226937084279,2.46926210995671e-39,1.52627093120838e-36
"209356_x_at",-20.0198519994871,2.93550645298169e-39,1.76671138367609e-36
