"","Term","Odds_ratio","p.value","p_adj"
"8313","GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","8.06477240672871","5.03454254374561e-74",5.17097864668112e-70
"7957","GO_EXTRACELLULAR_MATRIX","7.16482653860231","6.70271328291797e-73",3.44217840644252e-69
"8923","GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT","12.4179910700761","6.18806830317594e-61",2.118588318064e-57
"3580","GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION","5.9996875065257","3.31457451343864e-53",8.51099870688207e-50
"8921","GO_STRUCTURAL_MOLECULE_ACTIVITY","4.92917044072052","2.10774081260642e-39",4.32972117725611e-36
"8993","GO_GLYCOSAMINOGLYCAN_BINDING","6.31557258046485","7.89043407062256e-32",1.35071080565607e-28
"2187","GO_BIOLOGICAL_ADHESION","2.68761560575112","2.92277712568128e-30",4.2885491225532e-27
"219","GO_VASCULATURE_DEVELOPMENT","3.06167145895113","1.63941626278587e-28",2.10480555438421e-25
"4477","GO_CELL_MOTILITY","2.49178573389208","1.34409449074644e-27",1.5339105016063e-24
"7737","GO_ENDOPLASMIC_RETICULUM_LUMEN","4.88109055669855","1.68797322843247e-27",1.73371730292299e-24
"3090","GO_TUBE_DEVELOPMENT","2.70450281631638","9.82772425736568e-26",9.17641416794572e-23
"5896","GO_CIRCULATORY_SYSTEM_DEVELOPMENT","2.62035877470244","1.36502666490512e-25",1.16834907293671e-22
"4722","GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT","2.68027670579816","4.35142242883764e-25",3.43795844358395e-22
"2241","GO_COLLAGEN_FIBRIL_ORGANIZATION","10.5674116339191","1.57991673242497e-24",1.15909462562406e-21
"4365","GO_BLOOD_VESSEL_MORPHOGENESIS","3.0005114534868","4.64261793521268e-24",2.98027055078559e-21
"7670","GO_COLLAGEN_TRIMER","9.4356306777756","4.37259414651833e-24",2.98027055078559e-21
"4408","GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS","2.52380803789447","1.74017430012525e-22",1.05137236685803e-19
"3077","GO_TUBE_MORPHOGENESIS","2.6703832398662","2.8061587403599e-22",1.60122535679092e-19
"9875","GO_PROTEIN_CONTAINING_COMPLEX_BINDING","2.54725850491593","7.20741332783998e-22",3.89617591001287e-19
