"","Term","Odds_ratio","p.value","p_adj"
"8666","GO_RNA_BINDING","0.296489656560289","2.48059401681095e-19",2.54781811466653e-15
"749","GO_RNA_PROCESSING","0.188727655646139","1.19617264451663e-15",6.14294461591515e-12
"1019","GO_CELL_CYCLE","0.360063186169581","8.25262039252126e-15",2.82542213505286e-11
"4725","GO_CHROMOSOME_ORGANIZATION","0.302810243445065","8.99304551708406e-13",2.30918926264926e-09
"983","GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS","0.226376142300161","1.42436670632636e-12",2.92593408813561e-09
"1853","GO_MRNA_METABOLIC_PROCESS","0.223246923279711","3.45935169013076e-12",5.92183353488884e-09
"2174","GO_CELL_CYCLE_PROCESS","0.356646774761682","7.57557308711983e-12",1.11155301682583e-08
"39","GO_MITOTIC_CELL_CYCLE","0.29433324054372","1.13681283620307e-11",1.45952558008022e-08
"8536","GO_CATALYTIC_COMPLEX","0.375703530152425","1.16547065641947e-10",1.33006101245382e-07
"2189","GO_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","0.12845611139471","1.67720452595699e-10",1.72265676861042e-07
"8558","GO_TRANSFERASE_COMPLEX","0.243392637871087","5.54958916304554e-10",5.18180275396734e-07
"6564","GO_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS","2.19030748611603","9.92560330497719e-10",8.49548929545173e-07
"1321","GO_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS","9.55229590884442","1.39160620630596e-09",1.09947594961296e-06
"701","GO_DNA_REPAIR","0.191064389779149","1.84032925764477e-09",1.3501444146621e-06
"3022","GO_NCRNA_METABOLIC_PROCESS","0.177865014054068","2.94320318017801e-09",1.90113275108937e-06
"3777","GO_CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS","0.368799822268978","3.1419901970582e-09",1.90113275108937e-06
"4946","GO_CHLORIDE_ION_HOMEOSTASIS","Inf","3.14665142328102e-09",1.90113275108937e-06
"690","GO_DNA_REPLICATION","0.0735515315226259","4.72090146801821e-09",2.69379883211195e-06
"2997","GO_NCRNA_PROCESSING","0.126771586207325","6.48079114189976e-09",3.50337925360276e-06
"1511","GO_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION","0.261173811922094","8.6154944382347e-09",4.10393490825897e-06
"4853","GO_REGULATION_OF_CELL_CYCLE","0.396794733423447","8.38439969572928e-09",4.10393490825897e-06
"6562","GO_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS","1.86248800767675","8.79043598302964e-09",4.10393490825897e-06
"6897","GO_REGULATION_OF_MRNA_METABOLIC_PROCESS","0.0760700293437994","1.03917317244874e-08",4.54047290108522e-06
"8571","GO_RIBONUCLEOPROTEIN_COMPLEX","0.292467746014396","1.06096144120383e-08",4.54047290108522e-06
"2843","GO_PROTEIN_LOCALIZATION_TO_ORGANELLE","0.347707644408416","1.19564551579291e-08",4.72325965104192e-06
"5554","GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL","0.353006826320156","1.18227011430682e-08",4.72325965104192e-06
"7712","GO_NUCLEOLUS","0.371542408670408","1.49931254902235e-08",5.70349599666984e-06
"1119","GO_REGULATION_OF_MITOTIC_CELL_CYCLE","0.259101804591691","2.05043219379039e-08",7.26206519393831e-06
"2330","GO_EPITHELIAL_CELL_DIFFERENTIATION","2.25420570290087","2.00710912154205e-08",7.26206519393831e-06
"1322","GO_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS","11.5261543365445","2.85342006752486e-08",9.76915917118261e-06
"4694","GO_NUCLEAR_TRANSPORT","0.158118118634119","4.28596821970724e-08",1.42003805111655e-05
"1226","GO_RNA_SPLICING","0.179076800651459","5.97400845047569e-08",1.91747002483862e-05
"909","GO_ION_TRANSPORT","1.80434155568875","6.41943744342449e-08",1.95105868846503e-05
"942","GO_INTRACELLULAR_PROTEIN_TRANSPORT","0.429726722807136","6.45857223325976e-08",1.95105868846503e-05
"689","GO_DNA_METABOLIC_PROCESS","0.381420731047378","6.65023642402219e-08",1.95155938031805e-05
"3817","GO_CELL_CYCLE_PHASE_TRANSITION","0.29760134436235","1.23970456827194e-07",3.44135287046516e-05
"9429","GO_4_GALACTOSYL_N_ACETYLGLUCOSAMINIDE_3_ALPHA_L_FUCOSYLTRANSFERASE_ACTIVITY","42.4164911823473","1.20744215019504e-07",3.44135287046516e-05
"9496","GO_POTASSIUM_CHANNEL_INHIBITOR_ACTIVITY","23.8554423837195","1.40486464744023e-07",3.79720126154174e-05
"636","GO_AMINO_SUGAR_METABOLIC_PROCESS","10.628910689378","1.73765394029824e-07",4.57626759507775e-05
"723","GO_CHROMATIN_ORGANIZATION","0.336092273958539","1.93876001316981e-07",4.85683026713832e-05
"2414","GO_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS","0.338717534194002","1.89687342452151e-07",4.85683026713832e-05
"50","GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS","0.144209677423292","2.0030883919487e-07",4.89850496992979e-05
"4737","GO_CELL_DIVISION","0.292665014433158","2.2238528211645e-07",5.31190519213502e-05
"914","GO_ANION_TRANSPORT","2.17451269781069","2.41149782591906e-07",5.61879938383268e-05
"1248","GO_MACROMOLECULE_CATABOLIC_PROCESS","0.468543573801891","2.47919668533917e-07",5.61879938383268e-05
"1269","GO_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS","2.49890989051244","2.52569363839142e-07",5.61879938383268e-05
"9095","GO_FUCOSYLTRANSFERASE_ACTIVITY","15.1589895726982","2.57115734631619e-07",5.61879938383268e-05
"1905","GO_CYTIDINE_TO_URIDINE_EDITING","73.9306610356685","2.69784956922332e-07",5.77283602614432e-05
"6913","GO_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS","0","2.97072045119821e-07",6.22699382739935e-05
"8654","GO_CHROMATIN_BINDING","0.258206114050984","3.38791820061932e-07",6.95946156771221e-05
"4956","GO_MONOVALENT_INORGANIC_ANION_HOMEOSTASIS","28.2378729059549","4.08877036963284e-07",8.07610778201902e-05
"9907","GO_ALPHA_1_3_FUCOSYLTRANSFERASE_ACTIVITY","28.2378729059549","4.08877036963284e-07",8.07610778201902e-05
"754","GO_RNA_CATABOLIC_PROCESS","0.198123408759711","4.86070398796959e-07",9.41967748310107e-05
"3256","GO_FUCOSYLATION","13.2634007746832","5.33474350720774e-07",0.00010146879733802
"8317","GO_TIGHT_JUNCTION","3.40538393628291","7.47955013974899e-07",0.000139677199064294
"1268","GO_GLYCOPROTEIN_METABOLIC_PROCESS","2.35383347879754","7.8576283150822e-07",0.000144117322186088
"638","GO_UDP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS","15.9011732053276","8.37391284713262e-07",0.00014693594998314
"1472","GO_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS","0.221809703363132","8.44048393438348e-07",0.00014693594998314
"2595","GO_REGULATION_OF_INTRACELLULAR_TRANSPORT","0.157221648546903","8.20766860256173e-07",0.00014693594998314
"3428","GO_RIBOSOME_BIOGENESIS","0.154797060219767","8.61750433217865e-07",0.000147517311659678
"1351","GO_RESPONSE_TO_XENOBIOTIC_STIMULUS","3.52230783666612","1.13047675023331e-06",0.000185378593036822
"1494","GO_REGULATION_OF_CELL_CYCLE_PROCESS","0.37203231340584","1.137070524907e-06",0.000185378593036822
"4930","GO_XENOBIOTIC_GLUCURONIDATION","37.0363698682479","1.12250630412193e-06",0.000185378593036822
"750","GO_MRNA_PROCESSING","0.288090951627102","1.34943208253344e-06",0.000216562764370328
"8225","GO_APICAL_JUNCTION_COMPLEX","3.11097283548991","1.39104497894676e-06",0.000219806507365572
"790","GO_PEPTIDE_METABOLIC_PROCESS","0.428901006061447","1.76659765877287e-06",0.00027492006898873
"5399","GO_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL","10.6094565953598","1.91573748438591e-06",0.000293679697046682
"6292","GO_SODIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE","63.4211208710963","2.73830173415255e-06",0.00040761010306494
"7163","GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL","63.4211208710963","2.73830173415255e-06",0.00040761010306494
"3775","GO_CELLULAR_PROTEIN_CATABOLIC_PROCESS","0.360894380074734","2.86888347645248e-06",0.000420947174094906
"3098","GO_HAIR_CELL_DIFFERENTIATION","7.08314031617258","3.39832202333042e-06",0.000491607964811644
"6903","GO_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL","0","3.5541091270372e-06",0.000500058285531494
"9155","GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","2.72656828735184","3.54468097676731e-06",0.000500058285531494
"5936","GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE","0.323099178253152","3.87521225244803e-06",0.000537868987093158
"752","GO_TRNA_METABOLIC_PROCESS","0.0594949346118999","4.16057365082325e-06",0.000547862204712892
"2608","GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION","0.413181024061082","4.10243980059055e-06",0.000547862204712892
"3577","GO_PEPTIDE_BIOSYNTHETIC_PROCESS","0.410882576702739","4.12963334793317e-06",0.000547862204712892
"5284","GO_REGULATION_OF_MRNA_CATABOLIC_PROCESS","0.0598451257990892","4.05753924004837e-06",0.000547862204712892
"5436","GO_GLYCOSYLATION","2.39573259868103","4.33225650465198e-06",0.00056324818429469
"2182","GO_DIGESTIVE_SYSTEM_PROCESS","3.67643563552457","4.50509745038985e-06",0.000571257480406841
"4478","GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS","2.20665482796033","4.49637409585596e-06",0.000571257480406841
"1157","GO_DIGESTION","3.29075187129916","4.81344532445193e-06",0.000583789849550062
"1767","GO_MONOVALENT_INORGANIC_CATION_TRANSPORT","2.32959375703751","4.81837315256394e-06",0.000583789849550062
"5150","GO_LOBAR_BRONCHUS_EPITHELIUM_DEVELOPMENT","Inf","4.88812453133145e-06",0.000583789849550062
"5151","GO_LOBAR_BRONCHUS_DEVELOPMENT","Inf","4.88812453133145e-06",0.000583789849550062
"6387","GO_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE","5.51539348687193","4.7681454368307e-06",0.000583789849550062
"1945","GO_PEPTIDYL_AMINO_ACID_MODIFICATION","0.486432451684959","5.05028118912993e-06",0.000596223426362684
"720","GO_DNA_RECOMBINATION","0.141518304818182","5.32539508719663e-06",0.000621558328870416
"1904","GO_BASE_CONVERSION_OR_SUBSTITUTION_EDITING","14.1215469718025","5.86468323005573e-06",0.000669064267744711
"1996","GO_FUCOSE_CATABOLIC_PROCESS","14.1215469718025","5.86468323005573e-06",0.000669064267744711
"5553","GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL","0.0620343823427238","5.92784036264908e-06",0.000669064267744711
"8067","GO_GOLGI_CISTERNA_MEMBRANE","4.08321400602172","6.57227588033084e-06",0.000729535143109792
"9344","GO_TRANSFERASE_ACTIVITY_TRANSFERRING_GLYCOSYL_GROUPS","2.55854594473943","6.60566335402694e-06",0.000729535143109792
"9345","GO_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS","2.72574173872552","7.0654247647728e-06",0.000772010401691292
"7162","GO_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL","18.5266243044578","8.79933092672341e-06",0.000951346609982907
"3782","GO_SMALL_MOLECULE_CATABOLIC_PROCESS","1.97665553807998","9.16733205584405e-06",0.000980809036933065
"7859","GO_NUCLEAR_BODY","0.418125655205626","9.91252856686155e-06",0.00104960392690964
"4929","GO_FLAVONOID_GLUCURONIDATION","31.7120511623089","1.01438520658432e-05",0.0010631378017171
"9231","GO_POTASSIUM_CHANNEL_REGULATOR_ACTIVITY","6.86931935037541","1.07598638155727e-05",0.0011163086994924
"3004","GO_PROTEIN_LOCALIZATION_TO_NUCLEUS","0.149161459300876","1.09452306889061e-05",0.00112418464405755
"3182","GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORT","3.55648905511322","1.12045142586555e-05",0.00113942144505595
"2937","GO_ION_TRANSMEMBRANE_TRANSPORT","1.76104099232802","1.15929200558748e-05",0.00116362402487498
"9154","GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","1.86981209656388","1.16690949821948e-05",0.00116362402487498
"7974","GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE","1.71297326266164","1.29527814637658e-05",0.00127921171552249
"2783","GO_REGULATION_OF_CHROMOSOME_ORGANIZATION","0.24952548930325","1.32609140505798e-05",0.00128493253031609
