"","Term","Odds_ratio","p.value","p_adj"
"30","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","9.18240675456466","1.40233170759943e-75",7.01165853799715e-74
"42","HALLMARK_COAGULATION","4.87885059754623","1.27263490779034e-14",3.18158726947585e-13
"39","HALLMARK_UV_RESPONSE_DN","3.73145970070557","3.50957763314323e-14",5.84929605523872e-13
"16","HALLMARK_MYOGENESIS","3.64133934198383","1.31196691618402e-13",1.63995864523003e-12
"40","HALLMARK_ANGIOGENESIS","8.34388831624978","6.28116854875359e-13",6.28116854875359e-12
"20","HALLMARK_APICAL_JUNCTION","2.95321941271612","6.22564921337639e-09",5.18804101114699e-08
"48","HALLMARK_KRAS_SIGNALING_UP","2.58599624850176","5.35277003044811e-07",3.82340716460579e-06
"2","HALLMARK_HYPOXIA","2.37752991256366","3.53327877193011e-06",2.20829923245632e-05
"23","HALLMARK_COMPLEMENT","2.20707261596152","5.40905337918027e-05",0.000300502965510015
"12","HALLMARK_ADIPOGENESIS","2.551103846692","0.000120831884096197",0.000604159420480985
"22","HALLMARK_HEDGEHOG_SIGNALING","3.9579230949288","0.000496720168749778",0.00225781894886263
"50","HALLMARK_PANCREAS_BETA_CELLS","7.80190932073236","0.00074404756000141",0.00310019816667254
"10","HALLMARK_APOPTOSIS","1.98725720714971","0.00123877310181484",0.00476451193005708
"35","HALLMARK_GLYCOLYSIS","2.20322129567956","0.0026555681120887",0.00948417182888821
"37","HALLMARK_P53_PATHWAY","0.271329166365067","0.00375896868317974",0.0125298956105991
"25","HALLMARK_PI3K_AKT_MTOR_SIGNALING","0.118116631265695","0.00672578998894033",0.0210180937154385
"27","HALLMARK_E2F_TARGETS","0","0.0137969436316583",0.0405792459754656
"28","HALLMARK_MYC_TARGETS_V1","0","0.0212535882989938",0.0590377452749828
"38","HALLMARK_UV_RESPONSE_UP","0.336777845585135","0.0250426465407104",0.0659017014229221
"9","HALLMARK_G2M_CHECKPOINT","0.318139706771999","0.0332926983303943",0.0832317458259857
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE","0.328388794831432","0.0460372935989978",0.109612603807138
"34","HALLMARK_OXIDATIVE_PHOSPHORYLATION","0","0.0728903421038787",0.165659868417906
"21","HALLMARK_APICAL_SURFACE","2.20408493489798","0.0827110036759443",0.172314590991551
"31","HALLMARK_INFLAMMATORY_RESPONSE","1.4571757025969","0.0813595477191724",0.172314590991551
"41","HALLMARK_HEME_METABOLISM","1.54977768212021","0.0955435793756673",0.191087158751335
"33","HALLMARK_FATTY_ACID_METABOLISM","0.327310146897721","0.122950229104046",0.236442748277012
"45","HALLMARK_PEROXISOME","0.206261798084509","0.129388612105347",0.239608540935828
"6","HALLMARK_TGF_BETA_SIGNALING","1.57218712188304","0.150121389979774",0.268073910678168
"24","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","0.338106965457028","0.174760377183399",0.301310995143791
"8","HALLMARK_DNA_REPAIR","0.389442475531793","0.233191160842456",0.388651934737427
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.258076131387234","0.260702714192669",0.420488248697853
"36","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","1.88548255530656","0.28223247751927",0.431532021056074
"49","HALLMARK_KRAS_SIGNALING_DN","0.461931052186881","0.284811133897009",0.431532021056074
"14","HALLMARK_ESTROGEN_RESPONSE_LATE","0.662479562481891","0.306299318031006",0.450440173575009
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS","1.51318195001784","0.333166454814111",0.475952078305873
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.824281764590828","0.467025754780319",0.648646881639332
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY","0.773730496027108","0.496838246025109",0.653734534243565
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE","0.824999954883723","0.493369492161802",0.653734534243565
"43","HALLMARK_IL2_STAT5_SIGNALING","1.15967729443159","0.536785944600818",0.688187108462587
"46","HALLMARK_ALLOGRAFT_REJECTION","1.13602365112903","0.550625208255678",0.688281510319597
"47","HALLMARK_SPERMATOGENESIS","0.52996350842305","0.579092116468581",0.706209898132416
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING","1.11010238171011","0.713153429404627",0.82741581668817
"11","HALLMARK_NOTCH_SIGNALING","1.29485061629899","0.72812591868559",0.82741581668817
"17","HALLMARK_PROTEIN_SECRETION","0.795070474355654","0.702217747306091",0.82741581668817
"15","HALLMARK_ANDROGEN_RESPONSE","1.08120918312989","0.752747864529808",0.836386516144231
"4","HALLMARK_MITOTIC_SPINDLE","0.888712988850614","0.801710146503726",0.871424072286659
"26","HALLMARK_MTORC1_SIGNALING","0.909987148746818","0.879510306095962",0.935649261804215
"29","HALLMARK_MYC_TARGETS_V2","0","1",1
"32","HALLMARK_XENOBIOTIC_METABOLISM","0.940498141931637","1",1
"44","HALLMARK_BILE_ACID_METABOLISM","0.844437211794332","1",1
