"","Term","Odds_ratio","p.value","p_adj"
"114","KEGG_ECM_RECEPTOR_INTERACTION","5.55759711104197","2.96771497760906e-15",5.51994985835285e-13
"113","KEGG_FOCAL_ADHESION","3.18210834771194","5.2335855722456e-12",4.86723458218841e-10
"133","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","2.90081408131339","2.815383986695e-05",0.0017455380717509
"141","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","2.14646020251302","0.000373476834416875",0.0173666728003847
"119","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES","3.25161141105219","0.000474845496664544",0.017664252475921
"115","KEGG_CELL_ADHESION_MOLECULES_CAMS","2.25685341996972","0.000578771531006954",0.0179419174612156
"105","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION","2.32667702827673","0.00180037226716822",0.0425234444460247
"132","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","2.50392893196265","0.00182896535251719",0.0425234444460247
"11","KEGG_STEROID_HORMONE_BIOSYNTHESIS","7.42373671453568","0.00245652743761197",0.0507682337106474
"36","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE","4.79949312320556","0.00458227129170039",0.0852302460256273
"110","KEGG_TGF_BETA_SIGNALING_PATHWAY","2.19265732575389","0.00619449254098676",0.104743237511231
"77","KEGG_SPLICEOSOME","0","0.00875627505571667",0.135722263363608
"96","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS","0.207562082079286","0.0118843034548549",0.157891460185929
"117","KEGG_TIGHT_JUNCTION","1.97892962064139","0.0117188620929609",0.157891460185929
"118","KEGG_GAP_JUNCTION","2.22181373992922","0.012913738878396",0.16013036209211
"92","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","2.08652223011095","0.0139574297523214",0.162255120870736
"171","KEGG_MELANOMA","2.18566940949557","0.0212520780099037",0.232522735873064
"179","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","1.96278277734742","0.030955441531165",0.319872895822038
"124","KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY","0","0.0328209809362598",0.321300129165491
"19","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","10.366133695654","0.0412428988373541",0.383558959187393
"151","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION","0","0.0462360138787789",0.409518980069185
"14","KEGG_PYRIMIDINE_METABOLISM","2.59566311712329","0.0634637177640625",0.459400284494854
"26","KEGG_BETA_ALANINE_METABOLISM","6.9094587253715","0.0647713376048667",0.459400284494854
"58","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS","3.88956501299145","0.065821517660438",0.459400284494854
"123","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","0.184055490492321","0.0593994798499375",0.459400284494854
"161","KEGG_LEISHMANIA_INFECTION","1.7781944161324","0.0666871380718336",0.459400284494854
"175","KEGG_SMALL_CELL_LUNG_CANCER","1.78077132766309","0.0597398009587715",0.459400284494854
"158","KEGG_VIBRIO_CHOLERAE_INFECTION","0","0.0699499289518778",0.464667385180331
"24","KEGG_PHENYLALANINE_METABOLISM","5.18297752615366","0.091595147070473",0.567889911836933
"94","KEGG_OOCYTE_MEIOSIS","0.298674996776068","0.0893565397252474",0.567889911836933
"88","KEGG_CALCIUM_SIGNALING_PATHWAY","1.61787090075619","0.100685104658289",0.604110627949734
"129","KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY","0.42907225127835","0.108117905507231",0.609391831040757
"182","KEGG_PRIMARY_IMMUNODEFICIENCY","0","0.106432147405218",0.609391831040757
"126","KEGG_JAK_STAT_SIGNALING_PATHWAY","0.49791390834986","0.116783842653773",0.63887631569417
"67","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","2.30539830176722","0.122807683462474",0.645025779472996
"136","KEGG_LONG_TERM_POTENTIATION","0.214897557572704","0.124843699252838",0.645025779472996
"13","KEGG_PURINE_METABOLISM","1.67634009616491","0.140030826596375",0.68541404597173
"39","KEGG_GLYCEROLIPID_METABOLISM","2.18402030606572","0.138885066880236",0.68541404597173
"73","KEGG_RNA_DEGRADATION","0","0.162932467670497",0.761722625518163
"155","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS","0","0.163811317315734",0.761722625518163
"41","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","10.3567585585761","0.168427601570466",0.764086192490407
"31","KEGG_N_GLYCAN_BIOSYNTHESIS","2.22172309843145","0.184242407227736",0.796955528938579
"111","KEGG_AXON_GUIDANCE","1.4555932291669","0.183700098633613",0.796955528938579
"43","KEGG_ETHER_LIPID_METABOLISM","2.07344693562578","0.207563304479197",0.877426696207515
"137","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","0.542580898951864","0.215115837398833",0.88914546124851
"4","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","5.17879098221167","0.241693892180997",0.891585136664688
"25","KEGG_TRYPTOPHAN_METABOLISM","1.94373930604867","0.231491452463087",0.891585136664688
"82","KEGG_NUCLEOTIDE_EXCISION_REPAIR","0","0.251161126523966",0.891585136664688
"125","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY","0","0.251534675150595",0.891585136664688
"138","KEGG_LONG_TERM_DEPRESSION","1.62877791273762","0.242371548470447",0.891585136664688
"148","KEGG_TYPE_I_DIABETES_MELLITUS","0.389442475531793","0.233191160842456",0.891585136664688
"169","KEGG_THYROID_CANCER","0","0.254053829264669",0.891585136664688
"181","KEGG_GRAFT_VERSUS_HOST_DISEASE","0.389442475531793","0.233191160842456",0.891585136664688
"185","KEGG_DILATED_CARDIOMYOPATHY","1.44626285671744","0.259180864725517",0.892734089610114
"143","KEGG_GNRH_SIGNALING_PATHWAY","0.483729312553076","0.279400312529514",0.9280081809016
"160","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","1.63825897250654","0.277695805973134",0.9280081809016
"18","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","2.07237155613265","0.285966550743601",0.933154007689645
"23","KEGG_TYROSINE_METABOLISM","1.88371152508748","0.319753550459033",0.974012114140368
"102","KEGG_MTOR_SIGNALING_PATHWAY","1.48167591764026","0.312096753576144",0.974012114140368
"156","KEGG_HUNTINGTONS_DISEASE","0.404792702144829","0.324670704713456",0.974012114140368
"178","KEGG_AUTOIMMUNE_THYROID_DISEASE","0.404792702144829","0.324670704713456",0.974012114140368
"180","KEGG_ALLOGRAFT_REJECTION","0.404792702144829","0.324670704713456",0.974012114140368
"20","KEGG_LYSINE_DEGRADATION","0","0.397482042375619",0.985755465091535
"27","KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM","2.58927395741183","0.369445778051548",0.985755465091535
"30","KEGG_STARCH_AND_SUCROSE_METABOLISM","0","0.390128054603181",0.985755465091535
"33","KEGG_O_GLYCAN_BIOSYNTHESIS","0","0.397482042375619",0.985755465091535
"57","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","1.59370985847871","0.385919042893879",0.985755465091535
"65","KEGG_SULFUR_METABOLISM","2.58927395741183","0.369445778051548",0.985755465091535
"91","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM","0.51617757779376","0.370019515484341",0.985755465091535
"95","KEGG_P53_SIGNALING_PATHWAY","1.36978411336897","0.366609020498312",0.985755465091535
"101","KEGG_PEROXISOME","0","0.392537413909492",0.985755465091535
"135","KEGG_CIRCADIAN_RHYTHM_MAMMAL","0","0.392537413909492",0.985755465091535
"139","KEGG_OLFACTORY_TRANSDUCTION","0","0.392537413909492",0.985755465091535
"168","KEGG_PROSTATE_CANCER","1.34340366649334","0.362850463676941",0.985755465091535
"172","KEGG_BLADDER_CANCER","1.5712510081287","0.380062216729827",0.985755465091535
"35","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION","0","0.404653640342178",0.990336540837435
