"","Term","Odds_ratio","p.value","p_adj"
"34","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","8.41163222829291","4.14326887111302e-08",7.70648010027022e-06
"68","KEGG_DRUG_METABOLISM_CYTOCHROME_P450","5.21364470265665","9.73885863940816e-08",9.05713853464959e-06
"48","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES","7.969170880206","1.408008868195e-06",8.729654982809e-05
"77","KEGG_SPLICEOSOME","0","6.55411380566514e-05",0.00304766291963429
"67","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","3.62437739276748","0.000112329504553768",0.00417865756940017
"134","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","10.5707839537385","0.000246565620518555",0.00764353423607521
"54","KEGG_BUTANOATE_METABOLISM","4.16635005864764","0.000344772664504771",0.00916110222826963
"7","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","5.64505539743721","0.000470945651781133",0.0109494864039113
"33","KEGG_O_GLYCAN_BIOSYNTHESIS","4.76587828179508","0.000548425579907305",0.0113341286514176
"21","KEGG_ARGININE_AND_PROLINE_METABOLISM","3.53323064128375","0.00105517537837582",0.0196262620377903
"8","KEGG_FATTY_ACID_METABOLISM","3.18106958780361","0.00135586692002476",0.0229264770113278
"23","KEGG_TYROSINE_METABOLISM","4.45541180816584","0.00155942087070184",0.0241710234958785
"69","KEGG_DRUG_METABOLISM_OTHER_ENZYMES","3.53067190906536","0.00176611320744106",0.0252690043526182
"4","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","4.9347168243241","0.00193832651583611",0.0257520522818226
"25","KEGG_TRYPTOPHAN_METABOLISM","3.66413270736383","0.00240743213855384",0.0298521585180676
"16","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","4.03072705307803","0.00257979761702545",0.0299901472979209
"5","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","3.52811834094959","0.00296711876550875",0.0324637700226251
"30","KEGG_STARCH_AND_SUCROSE_METABOLISM","3.8464801063748","0.00325469810756991",0.0336318804448891
"73","KEGG_RNA_DEGRADATION","0","0.00380514609035115",0.0372503775160691
"104","KEGG_CARDIAC_MUSCLE_CONTRACTION","3.2842219349676","0.00439106593596512",0.0408369132044756
"18","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","2.64895285493586","0.00483119743241176",0.0427906058299327
"106","KEGG_WNT_SIGNALING_PATHWAY","0.193178763234151","0.00568431507255225",0.0480583001588508
"150","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION","3.25380559556808","0.00740529508520494",0.0598862993847008
"61","KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM","3.13302112083645","0.00888614336569413",0.0688676110841295
"22","KEGG_HISTIDINE_METABOLISM","3.96078283938292","0.00936306701459315",0.069661218588573
"24","KEGG_PHENYLALANINE_METABOLISM","6.02851480293163","0.0113426913274724",0.0809925481261035
"64","KEGG_NITROGEN_METABOLISM","3.72780849036284","0.0117569827924989",0.0809925481261035
"93","KEGG_CELL_CYCLE","0.320934636299464","0.0130481204572367",0.084972284705016
"128","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY","0","0.0132483669701369",0.084972284705016
"28","KEGG_SELENOAMINO_ACID_METABOLISM","3.52048846538293","0.0145513654730225",0.087308192838135
"137","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","0.132282355361622","0.0143337719489357",0.087308192838135
"11","KEGG_STEROID_HORMONE_BIOSYNTHESIS","2.57227971841948","0.0158981910779763",0.090183602271204
"153","KEGG_ALZHEIMERS_DISEASE","1.88445646657279","0.0160003165319878",0.090183602271204
"116","KEGG_ADHERENS_JUNCTION","0.145240266923265","0.019760103075712",0.104660104368244
"118","KEGG_GAP_JUNCTION","0","0.0202567943938536",0.104660104368244
"164","KEGG_RENAL_CELL_CARCINOMA","0","0.0199599863230072",0.104660104368244
"60","KEGG_RETINOL_METABOLISM","2.46037733807255","0.0225788649438083",0.113504564312117
"141","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","0.301327312837809","0.0242053013835052",0.118478580456104
"159","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","0","0.0301922737814839",0.1403940730839
"166","KEGG_ENDOMETRIAL_CANCER","0","0.0301922737814839",0.1403940730839
"53","KEGG_PROPANOATE_METABOLISM","2.54937506962229","0.0327548062861923",0.145670410163584
"142","KEGG_INSULIN_SIGNALING_PATHWAY","0.2459916122439","0.0328933184240351",0.145670410163584
"47","KEGG_SPHINGOLIPID_METABOLISM","2.75395723346429","0.0354829946283696",0.153484581415738
