"","t-statistic","p-value","p-adj"
"204457_s_at",22.7065410736214,6.99792532988981e-47,1.60273483830466e-42
"223122_s_at",22.0378383342412,6.45981213842883e-46,7.39745387032177e-42
"217764_s_at",21.2258076325489,2.3347803023745e-44,1.78244910884278e-40
"202363_at",21.2149460188691,3.49345987692572e-44,2.00026778903075e-40
"223121_s_at",21.9222860391725,1.09748046562141e-42,5.02711902082544e-39
"227059_at",20.6506790051196,1.65234802507638e-42,6.30728780305407e-39
"209356_x_at",20.6487821419297,4.76557444878596e-42,1.52921813719879e-38
"217763_s_at",20.1227700284674,5.34154700152394e-42,1.52921813719879e-38
"202766_s_at",19.8927941794254,1.53796806302282e-41,3.91378694971242e-38
"213413_at",20.9164451582764,1.8628341622575e-41,4.26644908181835e-38
"225710_at",19.7932635101196,3.20853216715583e-41,6.68045565676091e-38
"225464_at",19.6807200613556,6.12141310025431e-41,1.16832270195937e-37
"226930_at",19.6801901928424,8.31611079339225e-41,1.46510681154664e-37
"204619_s_at",19.5160124231958,1.07705875779318e-40,1.76199119498124e-37
"224560_at",19.4884937525756,1.32464091775931e-40,2.02255006262943e-37
"203748_x_at",19.4585168842673,1.48204563611809e-40,2.09663896724771e-37
"207266_x_at",19.4289787688496,1.55625299931062e-40,2.09663896724771e-37
"225242_s_at",19.7187564604804,1.9457194524327e-40,2.47571181217034e-37
"201426_s_at",19.5286778536314,2.27780617536074e-40,2.74571551759405e-37
"225481_at",19.5930327181967,2.61317101062611e-40,2.99247278281849e-37
"209868_s_at",19.253322772562,4.65958038486224e-40,4.85083497974999e-37
"212344_at",19.3751482595982,4.53176044303219e-40,4.85083497974999e-37
"217762_s_at",19.1823959086435,6.56819838897345e-40,6.54049772620256e-37
"200986_at",19.5888227301078,7.20086904757116e-40,6.59686015186089e-37
"212354_at",19.3294183311693,6.98463001326287e-40,6.59686015186089e-37
"209348_s_at",19.139201768768,8.18396542522482e-40,7.20912923592016e-37
"212353_at",19.1737929678846,1.36992728209001e-39,1.16205350154472e-36
"221729_at",18.9398769176809,2.01066425639663e-39,1.64465155229471e-36
"212298_at",18.9493121131389,2.28727782628321e-39,1.74618413517881e-36
"213429_at",19.1043765580681,2.26078213316461e-39,1.74618413517881e-36
"212262_at",19.6288965358562,2.44736267562916e-39,1.80812733419144e-36
"231579_s_at",18.8040317680699,3.77139775299786e-39,2.69926008552844e-36
"204620_s_at",18.7256427176708,5.63057287209857e-39,3.90778819665677e-36
"227566_at",18.8185304617563,8.05596144649268e-39,5.426637794383e-36
"203688_at",18.6735535309571,1.24482971306185e-38,8.14580997664441e-36
"218694_at",19.0628726091963,1.34410019744931e-38,8.55109078393934e-36
"203083_at",18.5654161219827,1.72234695577065e-38,1.01184338457144e-35
"208747_s_at",18.5182254749073,1.72300100416041e-38,1.01184338457144e-35
"208782_at",18.5282507917759,1.68259725011648e-38,1.01184338457144e-35
