"","t-statistic","p-value","p-adj"
"204457_s_at",22.7065410736214,6.99792532988981e-47,1.07138236800613e-43
"223122_s_at",22.0378383342412,6.45981213842883e-46,4.94498619196727e-43
"202363_at",21.2149460188691,3.49345987692572e-44,1.78282902385776e-41
"223121_s_at",21.9222860391725,1.09748046562141e-42,4.20060648216595e-40
"227059_at",20.6506790051196,1.65234802507638e-42,5.05948965278389e-40
"202766_s_at",19.8927941794254,1.53796806302282e-41,3.92438184081324e-39
"213413_at",20.9164451582764,1.8628341622575e-41,4.07428443202319e-39
"225710_at",19.7932635101196,3.20853216715583e-41,6.14032843489447e-39
"225464_at",19.6807200613556,6.12141310025431e-41,1.04132038405437e-38
"226930_at",19.6801901928424,8.31611079339225e-41,1.27319656246835e-38
"204619_s_at",19.5160124231958,1.07705875779318e-40,1.49906996198306e-38
"225242_s_at",19.7187564604804,1.9457194524327e-40,2.48241373472872e-38
"225481_at",19.5930327181967,2.61317101062611e-40,3.0775113978989e-38
"209868_s_at",19.253322772562,4.65958038486224e-40,4.75587837948272e-38
"212344_at",19.3751482595982,4.53176044303219e-40,4.75587837948272e-38
"200986_at",19.5888227301078,7.20086904757116e-40,6.48501794813615e-38
"212354_at",19.3294183311693,6.98463001326287e-40,6.48501794813615e-38
"212353_at",19.1737929678846,1.36992728209001e-39,1.16519926048878e-37
"212298_at",18.9493121131389,2.28727782628321e-39,1.7509111760198e-37
"213429_at",19.1043765580681,2.26078213316461e-39,1.7509111760198e-37
"212262_at",19.6288965358562,2.44736267562916e-39,1.78424393161345e-37
"227566_at",18.8185304617563,8.05596144649268e-39,5.60621680662741e-37
"203688_at",18.6735535309571,1.24482971306185e-38,8.28623604651167e-37
"218694_at",19.0628726091963,1.34410019744931e-38,8.57423917622874e-37
"203083_at",18.5654161219827,1.72234695577065e-38,1.05476527571395e-36
"221730_at",18.4898124825786,2.02832807414313e-38,1.19437318519736e-36
"201261_x_at",18.6283792954207,2.42979489734947e-38,1.37778369920076e-36
"218656_s_at",18.5573656022259,2.67000286972907e-38,1.45991942626971e-36
"209210_s_at",18.4291041086978,2.78612902433035e-38,1.47088397801716e-36
"213905_x_at",18.4541229638825,2.93208920056325e-38,1.49634285535411e-36
"216321_s_at",18.2819604208673,7.33457066675569e-38,3.62233151316225e-36
"226237_at",18.2110822921528,1.25566431484197e-37,6.00756895632205e-36
"203695_s_at",20.0459776463318,1.65861555480175e-37,7.69497095273177e-36
"224694_at",18.0893471437711,2.21044542806231e-37,9.95350573636294e-36
"202291_s_at",18.1036003216355,2.5109730875739e-37,1.09837137059304e-35
"215646_s_at",17.96385191726,3.25722015162842e-37,1.38522334781753e-35
"225782_at",17.9790832386568,3.73256083886076e-37,1.54447314710698e-35
"212636_at",17.9753712610958,4.30037632048882e-37,1.73259898596536e-35
"225442_at",18.0200078029343,4.65213524510569e-37,1.82626129750174e-35
"225265_at",18.2701815196152,5.31687101460009e-37,2.03503238083818e-35
"225021_at",18.3342801647345,5.9494209870122e-37,2.22160086124773e-35
"226066_at",18.7609566949294,7.41201091580654e-37,2.70185445526186e-35
"229802_at",17.9915672524948,7.92564997942135e-37,2.82190002755676e-35
"209335_at",17.7722722917823,1.61180937200954e-36,5.60836397396957e-35
"212263_at",17.7584502870211,1.74719839993649e-36,5.94435722289502e-35
"211571_s_at",17.7405714289609,2.60181651395435e-36,8.65952409318284e-35
"228640_at",17.698165269516,2.73174707155891e-36,8.89852077990787e-35
"211597_s_at",17.8189925756398,2.91655737469531e-36,9.30260279303858e-35
"226777_at",18.5363722525642,3.20791083748657e-36,1.00230846779427e-34
"227061_at",19.2513677313647,4.36664924310821e-36,1.33706799823973e-34
"238623_at",19.5004087638331,5.17247112959539e-36,1.55275554890403e-34
"201147_s_at",17.7657573440842,6.29803527922146e-36,1.85428692547847e-34
"226834_at",17.9450770155196,6.86943208380348e-36,1.98435858873644e-34
"201141_at",17.3544116235448,1.09078417059737e-35,3.09257512071217e-34
"213800_at",18.267745815789,1.21996943145209e-35,3.39595127191482e-34
"227376_at",18.9132358862099,1.34860832433779e-35,3.6869988295735e-34
"206026_s_at",17.3760599156031,1.56965820203655e-35,4.21604685494379e-34
"213125_at",18.0503326686809,1.655471387553e-35,4.36987361093731e-34
"203603_s_at",18.9052081870555,2.02239098530049e-35,5.24793321778822e-34
"221019_s_at",19.9389740457594,3.81733103501751e-35,9.74055635768635e-34
"214844_s_at",19.1079120258451,3.95662579959884e-35,9.93048212981283e-34
"201792_at",18.8356942128029,4.40110650162398e-35,1.08678936354618e-33
"209946_at",19.1087610860368,4.55375143261134e-35,1.10663387989333e-33
"225651_at",16.9587048516882,6.02595585246183e-35,1.4415216265811e-33
"202133_at",17.0143556160368,6.58331116023407e-35,1.55062298251052e-33
"225946_at",19.9402505895887,7.93421035333683e-35,1.84049637135738e-33
"225285_at",17.8022481289221,8.37024249904697e-35,1.91266287552849e-33
"205168_at",18.6058649847273,1.27429415414478e-34,2.86903580881714e-33
"228333_at",19.4394053117161,1.38215733667912e-34,3.06678678616773e-33
"235318_at",19.8275455669564,1.42730043274825e-34,3.12170994648225e-33
"209596_at",16.9784131203059,1.96608047467953e-34,4.23953409399206e-33
"226311_at",16.7908583363066,2.43061147381944e-34,5.16842523113549e-33
"225681_at",16.8055014803106,2.79282579718555e-34,5.85728259656313e-33
"201616_s_at",16.7945495550454,3.02399988153145e-34,6.25641056570899e-33
"222877_at",18.7343488119497,3.26505500693932e-34,6.66506562083213e-33
"209621_s_at",17.7727581536331,3.97146868688359e-34,8.00041915739313e-33
"205880_at",18.306474576055,5.23570466960144e-34,1.04102127911166e-32
"226517_at",16.9816385373994,6.49023172051096e-34,1.27391599539773e-32
"218718_at",16.4861905482945,8.04056272234385e-34,1.55824069973525e-32
"1555778_a_at",16.6470350501626,9.69214915550125e-34,1.85483504463405e-32
"201150_s_at",16.5261868656874,1.03597844093413e-33,1.95812715193846e-32
"227070_at",16.7056821337353,1.08068861737106e-33,2.01772472340865e-32
"219778_at",19.0127797481713,1.40941905275924e-33,2.5997838190053e-32
"202995_s_at",16.5506472945399,1.99968791364839e-33,3.64466928070914e-32
"209209_s_at",17.1046433229162,2.66292754334485e-33,4.78511349873279e-32
"218502_s_at",16.3216458007664,2.68791483273037e-33,4.78511349873279e-32
"212489_at",16.2978864367963,2.75616403872233e-33,4.85021510722286e-32
"209656_s_at",16.237572040236,2.89867989973225e-33,5.04304423464782e-32
"215446_s_at",16.9081620878419,2.98162371446354e-33,5.12906281667829e-32
"201431_s_at",16.1954887692053,3.69123711819482e-33,6.27920447550697e-32
"201842_s_at",16.215010323521,3.96521489734617e-33,6.67114726135933e-32
"226695_at",16.1891912603079,4.04237096855519e-33,6.72703255745434e-32
"205100_at",18.6994709151863,6.43722010468258e-33,1.05971870755581e-31
"227140_at",16.4707060953114,6.77059040628273e-33,1.10274190553392e-31
"210517_s_at",16.1511312524446,7.06739858363889e-33,1.13896707700538e-31
"204051_s_at",16.7633356493763,1.14386571137677e-32,1.82422750428941e-31
"212464_s_at",16.5062935649725,1.67581889541063e-32,2.64502961739554e-31
"206025_s_at",16.5521357968541,2.57810329933378e-32,4.02762872579593e-31
"202765_s_at",17.0158670883673,2.82237626320693e-32,4.36470511007052e-31
